PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18
Par,Greystone Woods,White - Less Walking,2020-08-06 18:20,58,,3,3,4,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3
Justin,Greystone Woods,White - Less Walking,2020-08-06 18:20,69,11,6,3,4,3,3,3,3,7,5,4,3,3,4,5,3,4,3,3
Alex,Greystone Woods,White - Less Walking,2020-08-06 18:20,73,15,5,3,4,5,3,3,4,6,5,5,4,3,3,5,3,4,4,4
Carolann,Greystone Woods,White - Less Walking,2020-08-06 18:20,86,28,3,4,6,4,4,4,5,6,7,5,4,4,4,7,4,5,5,5
Leah,Greystone Woods,White - Less Walking,2020-08-06 18:20,62,22,5,4,5,4,3,4,4,6,8,7,4,0,0,8,0,0,0,0
Par,Greystone Woods,White,2020-08-02 18:35,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-02 18:35,82,24,4,7,4,5,4,3,4,4,3,4,6,5,4,5,4,5,5,6
Carolann,Greystone Woods,White,2020-08-02 18:35,86,28,5,7,6,6,4,5,4,4,3,4,6,4,4,6,4,5,4,5
Par,Greystone Woods,White,2020-08-01 10:11,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-08-01 10:11,72,14,2,5,5,4,4,4,5,3,3,3,5,5,3,4,4,5,4,4
Carolann,Greystone Woods,White,2020-08-01 10:11,79,21,4,6,6,6,4,4,4,3,3,3,6,5,4,6,3,4,4,4
Par,Greystone Woods,White,2020-07-31 18:36,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-31 18:36,73,15,3,6,5,5,4,4,3,3,4,5,5,3,3,5,3,4,4,4
Carolann,Greystone Woods,White,2020-07-31 18:36,77,19,4,5,7,4,4,4,4,4,3,3,6,3,3,6,3,4,5,5
Par,Greystone Woods,White,2020-07-29 17:57,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-07-29 17:57,66,8,3,5,5,2,3,4,3,3,4,4,6,4,4,4,2,3,4,3
Alex,Greystone Woods,White,2020-07-29 17:57,73,15,4,4,5,5,4,3,3,3,3,4,5,6,3,6,4,3,3,5
Leah,Greystone Woods,White,2020-07-29 17:57,92,34,5,7,6,6,5,5,4,3,5,3,7,5,4,7,4,5,6,5
Par,Doc Cramer,Main,2020-07-22 18:26,60,,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,5,4,4
Alex,Doc Cramer,Main,2020-07-22 18:26,72,12,4,3,4,3,4,4,4,6,4,5,3,3,4,4,3,5,5,4
Carolann,Doc Cramer,Main,2020-07-22 18:26,95,35,5,7,5,4,5,6,6,7,6,6,4,5,4,4,5,6,6,4
Par,Greystone Woods,White,2020-07-16 21:34,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-16 21:34,74,16,3,6,6,4,4,4,3,4,5,3,5,4,3,6,3,4,4,3
Carolann,Greystone Woods,White,2020-07-16 21:34,85,27,4,6,6,6,3,4,4,5,5,3,5,5,4,7,5,4,4,5
Justin,Greystone Woods,White,2020-07-16 21:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Par,Greystone Woods,White,2020-07-16 17:28,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Justin,Greystone Woods,White,2020-07-16 17:28,63,5,3,4,4,3,3,3,3,3,3,2,6,3,2,6,3,4,3,5
Alex,Greystone Woods,White,2020-07-16 17:28,74,16,3,6,6,4,4,4,3,4,5,3,5,4,3,6,3,4,4,3
Carolann,Greystone Woods,White,2020-07-16 17:28,85,27,4,6,6,6,3,4,4,5,5,3,5,5,4,7,5,4,4,5
Leah,Greystone Woods,White,2020-07-16 17:28,92,34,5,4,6,6,5,6,5,6,6,3,6,4,4,7,4,5,5,5
Par,Greystone Woods,White,2020-07-15 18:30,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-15 18:30,77,19,3,6,8,5,5,4,3,3,5,3,6,3,3,6,4,3,3,4
Carolann,Greystone Woods,White,2020-07-15 18:30,89,31,4,7,8,5,4,4,4,3,5,4,6,5,4,7,4,5,5,5
Par,Greystone Woods,White,2020-07-14 18:43,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-14 18:43,73,15,3,5,5,5,4,4,5,3,3,3,4,4,3,6,4,4,4,4
Carolann,Greystone Woods,White,2020-07-14 18:43,89,31,4,7,6,7,5,4,4,4,4,4,5,6,4,6,5,5,4,5
Par,Greystone Woods,White,2020-07-13 18:34,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
Alex,Greystone Woods,White,2020-07-13 18:34,78,20,3,5,5,4,3,4,4,6,4,5,6,5,4,5,3,4,4,4
Justin,Greystone Woods,White,2020-07-13 18:34,67,9,3,5,5,5,3,3,4,3,3,4,5,3,3,4,3,3,3,5
Carolann,Greystone Woods,White,2020-07-13 18:34,95,37,4,8,6,5,4,5,7,5,5,4,4,5,5,6,5,7,5,5
Carolann,Greystone Woods,White,2020-07-13 18:34,95,37,4,8,6,5,4,5,7,5,5,4,4,5,5,6,5,7,5,5
Par,Greystone Woods,White,2020-07-09 17:54,58,,3,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3
